Token,Item Name,Variation Name,SKU,Description,Category,SEO Title,SEO Description,Permalink,GTIN,Square Online Item Visibility,Weight (kg),Shipping Enabled,Self-Serve Ordering Enabled,Delivery Enabled,Pickup Enabled,Price,Online Sale Price,Archived,Sellable,Stockable,Skip Detail Screen in POS,Option Name 1,Option Value 1,Default Unit Cost,Default Vendor Name,Default Vendor Code,Current Quantity Arrow Wood Games Inc.,New Quantity Arrow Wood Games Inc.,Stock Alert Enabled Arrow Wood Games Inc.,Stock Alert Count Arrow Wood Games Inc.,Tax - PST (7%)
SRGGJALM5DHV6DAC3OPYNFLT,(Classic) Curse of the Pirate Mist,,795666L,,Books,,,,9781937133023,unavailable,,,,,,12.99,,N,,,,,,6.50,Outset Media,,2,,,,N
BJ6HZCKP4O227SWDL5IM5223,(Classic) Escape,,108747T,,Books,,,,9781933390086,unavailable,,,,,,12.99,,N,,,,,,6.50,Outset Media,Outset Media,1,,,,N
DVNIFWGATAUAHZVOWUBVG3BV,(Classic) Escape from the Haunted Warehouse,,1431065,,Books,,,,9781937133474,unavailable,,,,,,12.99,,N,,,,,,6.50,Outset Media,,2,,,,N
EVPR2VP7BTR7L4YHJ44XCRYU,(Classic) House Of Danger,,4461222,,Books,,,,9781933390062,unavailable,,,,,,12.99,,N,,,,,,6.50,Outset Media,,2,,,,N
3VI7LBZ2DIXJLWCFWNRA7OIK,(Classic) Inca Gold,,C606680,,Books,,,,9781933390208,unavailable,,,,,,12.99,,N,,,,,,6.50,Outset Media,Outset Media,2,,,,N
AK2BEM2F3Z5LS56ZCCVWPNAF,(Classic) Journey Under The Sea,,V924750,,Books,,,,9781933390024,unavailable,,,,,,12.99,,N,,,,,,6.50,Outset Media,,1,,,,N
5VKWQPEBD32ACR2PXGBS7PQO,(Classic) Lost On The Amazon,,N528704,,Books,,,,9781933390093,unavailable,,,,,,12.99,,N,,,,,,6.50,Outset Media,Outset Media,1,,,,N
ADFKYRO2FT6MNBZBFZANZ5FP,(Classic) Moon Quest,,C367054,,Books,,,,9781933390260,unavailable,,,,,,12.99,,N,,,,,,6.50,Outset Media,Outset Media,2,,,,N
ZE4SNVYKXHI6C2RG335EYCKT,(Classic) Mystery of the Maya,,972671W,,Books,,,,9781933390055,unavailable,,,,,,12.99,,N,,,,,,6.50,Outset Media,,2,,,,N
E3IJUBLQJVDTG4YQ6XVJJUGI,(Classic) Punishment: Earth,,474731R,,Books,,,,9781933390369,unavailable,,,,,,12.99,,N,,,,,,6.50,Outset Media,Outset Media,2,,,,N
R4BT3TYJDI3JPBYOOIVD36ZB,(Classic) Race Forever,,658541J,,Books,,,,9781933390079,unavailable,,,,,,12.99,,N,,,,,,6.50,Outset Media,Outset Media,2,,,,N
7QRY45OGECJJCQZ27A6CFYOB,(Classic) Secret Of The Ninja,,915340M,,Books,,,,9781933390161,unavailable,,,,,,12.99,,N,,,,,,6.50,Outset Media,Outset Media,1,,,,N
TO4MVDD3KEBOA3VABEP36P7P,(Classic) Sister from the Multiverse,,519433F,,Books,,,,9781954232150,unavailable,,,,,,12.99,,N,,,,,,6.50,Outset Media,,2,,,,N
DRCNHJ5SVJM7ZET4YJQ2XI3F,(Classic) Space And Beyond,,J145650,,Books,,,,9781933390031,unavailable,,,,,,12.99,,N,,,,,,6.50,Outset Media,,1,,,,N
UNAJTGHET6I2U72AG54CCBCH,(Classic) Struggle Down Under,,W935110,,Books,,,,9781933390215,unavailable,,,,,,12.99,,N,,,,,,6.50,Outset Media,Outset Media,1,,,,N
HSI5MUHWWL2OK2SO65ZG5G6H,(Classic) Terror on the Titanic,,4190765,,Books,,,,9781933390246,unavailable,,,,,,12.99,,N,,,,,,6.50,Outset Media,Outset Media,1,,,,N
W4WQZ7HZ6V4TNRG7FQIUWLDW,(Classic) The Abominable Snowman,,H543484,,Books,,,,9781933390017,unavailable,,,,,,12.99,,N,,,,,,6.50,Outset Media,,0,,,,N
XDNKF2SFELQDUZKPGQKMLXCW,(Classic) The Flight of the Unicorn,,521386X,,Books,,,,9781954232044,unavailable,,,,,,12.99,,N,,,,,,6.50,Outset Media,,2,,,,N
NX44UI6I66CAEONKCD64RAYI,(Classic) The Lost Jewels of Nabooti,,3215195,,Books,,,,9781933390048,unavailable,,,,,,12.99,,N,,,,,,6.50,Outset Media,,2,,,,N
JW5SRU72LXX3DXOOQIYWWV6X,(Classic) The Lost Ninja,,T159555,,Books,,,,9781937133351,unavailable,,,,,,12.99,,N,,,,,,6.50,Outset Media,,1,,,,N
YTLR6CIPPXFMC65OZIEXDQVY,(Classic) The Magic of the Unicorn,,M245624,,Books,,,,9781937133252,unavailable,,,,,,12.99,,N,,,,,,6.50,Outset Media,,2,,,,N
DZ35KGVMSRXRY4ZIODXMQNL6,(Classic) The Rescue of the Unicorn,,315317H,,Books,,,,9781937133672,unavailable,,,,,,12.99,,N,,,,,,6.50,Outset Media,,1,,,,N
3SUQPGF7MPG6LZEASQ43FKYR,(Classic) The Throne of Zeus,,V484092,,Books,,,,9781937133306,unavailable,,,,,,12.99,,N,,,,,,6.50,Outset Media,,2,,,,N
6TF57DW2EIC7ILXMXFQG6ZYT,(Classic) The Warlock and the Unicorn,,868520E,,Books,,,,9781954232136,unavailable,,,,,,12.99,,N,,,,,,6.50,Outset Media,,1,,,,N
MNX64TAF6NBTBV7EUZMKCFZL,(Classic) War With The Evil Power Master,,K336283,,Books,,,,9781933390123,unavailable,,,,,,12.99,,N,,,,,,6.50,Outset Media,Outset Media,2,,,,N
QOUOE57VYNQOJC2W3BRKFMMA,(Classic) Zombie Penpal,,108801Y,,Books,,,,9781933390345,unavailable,,,,,,12.99,,N,,,,,,6.50,Outset Media,Outset Media,1,,,,N
Q7ZCR2PKA6OA7MI6T2N6AFZC,(Dragonlark) Big Bigfoot's Secret Vacation,,E897430,,Books,,,,9781954232112,unavailable,,,,,,13.99,,N,,,,,,7.00,Outset Media,,1,,,,N
AVJXOFYARXCA6F5SPJBTR4ZK,(Dragonlark) Dino Lab,,802826F,,Books,,,,9781937133535,unavailable,,,,,,13.99,,N,,,,,,7.00,Outset Media,,2,,,,N
QC7QFJD45HPWDBKLVQZ4KFUC,(Dragonlark) Dragon Day,,N244372,,Books,,,,9781933390611,unavailable,,,,,,13.99,,N,,,,,,7.00,Outset Media,Outset Media,1,,,,N
DQDXOHSDJM3O7QPGGEJA6HX5,(Dragonlark) Fairy House,,4052542,,Books,,,,9781954232051,unavailable,,,,,,13.99,,N,,,,,,7.00,Outset Media,,1,,,,N
RPL34UQMTAGYOFOGNYAVWWK4,(Dragonlark) Fire,,831490G,,Books,,,,9781937133498,unavailable,,,,,,13.99,,N,,,,,,7.00,Outset Media,,3,,,,N
BI7B4EDUOXVYB3Y2YH4WXPJL,(Dragonlark) Ghost Island,,K691300,,Books,,,,9781933390574,unavailable,,,,,,13.99,,N,,,,,,7.00,Outset Media,Outset Media,0,,,,N
7E2NJSI4WPOO4OVVMVO3YU6V,(Dragonlark) Glitterpony Farm,,X124931,,Books,,,,9781954232105,unavailable,,,,,,13.99,,N,,,,,,7.00,Outset Media,,2,,,,N
HOJWBKKUHBGPP2RQJ2JBUKBP,(Dragonlark) Lost Dog,,997548H,,Books,,,,9781933390000,unavailable,,,,,,13.99,,N,,,,,,7.00,Outset Media,,2,,,,N
XG4ZTFYS4WXRH4WX6UV5JLNR,(Dragonlark) Mermaid Island,,E070226,,Books,,,,9781937133726,unavailable,,,,,,13.99,,N,,,,,,7.00,Outset Media,,1,,,,N
DYUOKSO2WLHQQFRJTJR5GKXF,(Dragonlark) Owl Tree,,Z835341,,Books,,,,9781933390802,unavailable,,,,,,13.99,,N,,,,,,7.00,Outset Media,Outset Media,2,,,,N
REPDLEUFMLSDWBCHUAC7O4GO,(Dragonlark) Princess Island,,902541H,,Books,,,,9781937133504,unavailable,,,,,,13.99,,N,,,,,,7.00,Outset Media,,3,,,,N
I7GJKYYUIGQBVRIFL6XMZFPI,(Dragonlark) Return to Haunted House,,4462302,,Books,,,,9781933390406,unavailable,,,,,,13.99,,N,,,,,,7.00,Outset Media,Outset Media,1,,,,N
APXNTVBB544MEEGR7HZTMRRA,(Dragonlark) Sand Castle,,398980A,,Books,,,,9781933390598,unavailable,,,,,,13.99,,N,,,,,,7.00,Outset Media,Outset Media,3,,,,N
VB7TN2MNKRILAITUQN5ZYKXD,(Dragonlark) Space Pup,,F005110,,Books,,,,9781937133436,unavailable,,,,,,13.99,,N,,,,,,7.00,Outset Media,,2,,,,N
H6YHJ4HKLANV3O3NZATTBIFX,(Dragonlark) The Ghost on the Mountain,,564097J,,Books,,,,9781954232068,unavailable,,,,,,13.99,,N,,,,,,7.00,Outset Media,,2,,,,N
ESTQEMHWN5ICXR7BSAOM2OCC,(Dragonlark) The Haunted House,,903901A,,Books,,,,9781933390512,unavailable,,,,,,13.99,,N,,,,,,7.00,Outset Media,Outset Media,1,,,,N
XHGAHC5VYCDCEIOTWA7JJC43,(Dragonlark) The Lake Monster Mystery,,V890328,,Books,,,,9781933390604,unavailable,,,,,,13.99,,N,,,,,,7.00,Outset Media,Outset Media,2,,,,N
LMIRBBTPADCYHC4K3YKJOHER,(Dragonlark) Unicorn Princess,,6242432,,Books,,,,9781937133283,unavailable,,,,,,13.99,,N,,,,,,7.00,Outset Media,,1,,,,N
AMYZGKBJSZVGVT3E6SZAEPW2,(Dragonlark) Your Baby Unicorn,,744682B,,Books,,,,9781937133795,unavailable,,,,,,13.99,,N,,,,,,7.00,Outset Media,,2,,,,N
MWIZR7BIP6DSYE2ZXNSZJEFT,(Dragonlark) Your Grandparents are Spies,,6426351,,Books,,,,9781937133511,unavailable,,,,,,13.99,,N,,,,,,7.00,Outset Media,,2,,,,N
7EDGLO5JZAARMORKDQXBVVLG,(Dragonlark) Your Grandparents are Zombies,,B745506,,Books,,,,9781933390901,unavailable,,,,,,13.99,,N,,,,,,7.00,Outset Media,Outset Media,1,,,,N
34BUGHFZ4ANQ3LLMW4RJYIPP,(Dragonlark) Your Purrr-fect Birthday,,Z913448,,Books,,,,9781933390550,unavailable,,,,,,13.99,,N,,,,,,7.00,Outset Media,Outset Media,1,,,,N
A5S5WNOZZWXYRW6MTBS5HYMX,(Dragonlark) Your Robot Goes Cuckoo-Bananas,,4745773,,Books,,,,9781933390390,unavailable,,,,,,13.99,,N,,,,,,7.00,Outset Media,Outset Media,1,,,,N
SJWOSMIACC76Y5C2H7KQTBD4,(Dragonlark) Your Very Own Robot,,L893184,,Books,,,,9781933390529,unavailable,,,,,,13.99,,N,,,,,,7.00,Outset Media,Outset Media,1,,,,N
NY74C6M4WNU2QUCWXACUIDX5,(Larger Format) Murder at the Old Willow School,,237940F,,Books,,,,9781954232167,unavailable,,,,,,14.99,,N,,,,,,7.50,Outset Media,,2,,,,N
MXEZVZAVS3PRQXOGBV34OQKS,(Larger Format) Time Travel Inn,,3992062,,Books,,,,9781937133771,unavailable,,,,,,14.99,,N,,,,,,7.50,Outset Media,,1,,,,N
ZF6EGY4GUGLGLM7DCEJBJYAI,(Larger Format) Time Travel Inn 2,,9706246,,Books,,,,9781954232174,unavailable,,,,,,14.99,,N,,,,,,7.50,Outset Media,,2,,,,N
NYEAEMGDKOS2WLU6RXZ5SUT2,#AlternativeFacts,,S406783,,Games,,,,074427100766,unavailable,,,,,,variable,,N,,,,,,9.05,Lion Rampant,,0,,,,Y
NDCSCY5H34PMLBOM7ZTANNB4,1 Minute Sand Timer,,6633875,,Toys,,,,755828388228,unavailable,,,,,,3.99,,N,,,,,,2.00,Outset Media,,0,,,,Y
IOTQMMKXXQ4RQ56QCXPB6VQW,10 Minute Heist: The Wizards Tower (No Amazon Sales),,D938231,,Games,,,,602573043622,unavailable,,,,,,variable,,N,,,,,,15.06,Lion Rampant,,0,,,,Y
QFHKFTV5T5OE2JMAYRW5ZY4H,"10"" Wooden Dice Tray",,7251531,,Dice,,,,018183118887,unavailable,,,,,,variable,,N,,,,,,15.88,Lion Rampant,,0,,,,Y
RKMNSRSZ3UAJSHKIY5Y2FZRZ,100 Bingo Cards,,8457267,,Toys,,,,755828385128,unavailable,,,,,,16.99,,N,,,,,,8.50,Outset Media,,0,,,,Y
TK6S4INVIVWYAFCNAMF6Y6EL,100 Great Words,Regular,201382N,,Odds & Ends,,,,689196507045,hidden,,,,,,14.95,,N,,,,,,7.50,Group One Associates,,0,,,,Y
64V3CBJD2F4KJIN37WZYHXZN,100 PICS - ANIMALS,,2649782,,Games,,,,5060542080002,unavailable,,,,,,16.99,,N,,,,,,10.36,Asmodee,,0,,,,Y
7X3QW4E4J5MINL44ZPRNKZ4L,100 PICS - CAPITAL CITIES,,7939458,,Games,,,,5060542080248,unavailable,,,,,,16.99,,N,,,,,,10.36,Asmodee,,0,,,,Y
WFF2YHZSXDKP5F4LAD3DQEWI,100 PICS - COUNTRIES,,Q504275,,Games,,,,5060542080088,unavailable,,,,,,16.99,,N,,,,,,10.36,Asmodee,,0,,,,Y
DOJWOIHRN4BNEHO7WN2NNHWU,100 PICS - DOG BREEDS,,3714699,,Games,,,,5060542080132,unavailable,,,,,,16.99,,N,,,,,,10.36,Asmodee,,0,,,,Y
ENRYTVANH4XYZZXDU43I34P2,100 PICS - LOGO QUIZ,,K426832,,Games,,,,5060542080194,unavailable,,,,,,16.99,,N,,,,,,10.36,Asmodee,,0,,,,Y
WC4DRRQNDD46L2XXRUVRNUIP,100 PICS - OPTICAL ILLUSIONS,,E630150,,Games,,,,5060542080170,unavailable,,,,,,16.99,,N,,,,,,10.36,Asmodee,,0,,,,Y
ZXUQIPMAKFULO5NDSBSM3NZJ,100 PICS - UNOFFICIAL MINECRAFT,,360256N,,Games,,,,5060542080316,unavailable,,,,,,16.99,,N,,,,,,10.36,Asmodee,,0,,,,Y
DOYMQMS52OTEJ6LUQ7DGS6ZQ,100 PICS - WORD SEARCH,,3692482,,Games,,,,5060542080231,unavailable,,,,,,16.99,,N,,,,,,10.36,Asmodee,,0,,,,Y
4SIEF4HSDKAF72RKHONX7PJL,100 Sided Die - Black D100,,413344S,,Dice,,,,617629716061,unavailable,,,,,,31.95,,N,,,N,,,17.25,Fox Crest Distribution,,0,,,,Y
U6DX4TBIC6ZHRBBOIOYPXQB7,100 Sided Die - Blue D100,,S613884,,Dice,,,,617629716009,unavailable,,,,,,31.95,,N,,,N,,,17.25,Fox Crest Distribution,,0,,,,Y
COWFEFKONXREHEP2IE7CIONL,100 Sided Die - Blue Jay D100,,961578T,,Dice,,,,617629725612,unavailable,,,,,,31.95,,N,,,N,,,17.25,Fox Crest Distribution,,1,,,,Y
34D47FUOG4R3ZYOM4BXGF75O,100 Sided Die - Green D100,,W139516,,Dice,,,,617629716030,unavailable,,N,N,N,N,31.95,,N,,,N,,,17.25,Fox Crest Distribution,,0,,,,Y
GVXPNZJXNBSNLFKW65QY46X2,100 Sided Die - Green Pearl D100,,8421648,,Dice,,,,617629725629,unavailable,,,,,,31.95,,N,,,N,,,17.25,Fox Crest Distribution,,0,,,,Y
2JCZSGPLSYHX3YXRSIHIRQ7E,100 Sided Die - Mint Rose D100,,F435250,,Dice,,,,617629724851,unavailable,,,,,,31.95,,N,,,N,,,17.25,Fox Crest Distribution,,0,,,,Y
DDOVYF5TC3OTZ4QNOGTECHVQ,100 Sided Die - Purple D100,,731526Q,,Dice,,,,617629716016,unavailable,,,,,,31.95,,N,,,N,,,17.25,Fox Crest Distribution,,0,,,,Y
6T6UQHFVD5X4RYZ6IUQWFXAL,100 Sided Die - Red D100,,260820Z,,Dice,,,,617629715996,unavailable,,,,,,31.95,,N,,,N,,,17.25,Fox Crest Distribution,,0,,,,Y
UCKNU7OJ63EOHQ2BWEI7I2HU,100 Sided Die - White D100,,A845099,,Dice,,,,617629716023,unavailable,,,,,,31.95,,N,,,N,,,17.25,Fox Crest Distribution,,0,,,,Y
UC2HCX5BJMEWL2AM6WMY3RPY,100 Sided Die - Yellow D100,,S735831,,Dice,,,,617629716054,unavailable,,,,,,31.95,,N,,,N,,,17.25,Fox Crest Distribution,,0,,,,Y
EJAH46THADQOMW23JG5TTG5A,100 Sight Words Level 1,Regular,335294R,,Odds & Ends,,,,689196507007,hidden,,,,,,14.95,,N,,,,,,7.50,Group One Associates,,0,,,,Y
SC5DLCDASZSS2DN6R42PW2H5,100 Sight Words Level 2,Regular,5542394,,Odds & Ends,,,,689196507014,hidden,,,,,,14.95,,N,,,,,,7.50,Group One Associates,,0,,,,Y
T5XBGNCLDK5YQOBK74GLZPGT,100 Sight Words Level 3,Regular,8345015,,Odds & Ends,,,,689196507021,hidden,,,,,,14.95,,N,,,,,,7.50,Group One Associates,,0,,,,Y
6Z4ZBPZ4HLVS5DKFJ7EBOKWC,100 Steel Ringed Chips,,214546H,,Toys,,,,755828382226,unavailable,,,,,,6.99,,N,,,,,,3.50,Outset Media,,0,,,,Y
OC2RIUTXZZKCBFBGGRTVFHEM,100 Steel Ringed Chips,,5459354,,Toys,,,,755828388501,unavailable,,,,,,6.99,,N,,,,,,3.50,Outset Media,,0,,,,Y
LWTXA2CSLDLON3RJEUDTPA4O,"1000 mcx, Equpidae, Fauna Fantasies",,D374619,,Puzzles,,,,4001689299804,hidden,,,,,,28.99,,N,,,N,,,14.25,Autruche,,0,,,,Y
YGG5P7DNH2GSWY7HBMXZ35VX,"1000 mcx, Gentle Bruin, Floral Friends",,529332D,,Puzzles,,,,4001689299705,hidden,,,,,,28.99,,N,,,N,,,14.25,Autruche,,1,,,,Y
YPRVY7GUQXXMCVITQNVHHVHJ,"1000 mcx, Jarantine, Zozoville",,892330T,,Puzzles,,,,4001689299668,hidden,,,,,,28.95,,N,,,N,,,14.25,Autruche,,0,,,,Y
YFBTLEX7OPYA3LW45GEMIY4P,"1000 mcx, Love relentlessly, Jolly Pets",,N420489,,Puzzles,,,,4001689299651,hidden,,,,,,28.99,,N,,,N,,,14.25,Autruche,,0,,,,Y
MMACFWZHJIGGS2GCMEKKPGF5,"1000 mcx, Ruyer - Railway Station",,D461152,,Puzzles,,,,9001890556746,hidden,,,,,,25.99,,N,,,N,,,13.00,Autruche,,0,,,,Y
OHZZ2O5VRWHCOKMRQTH2PBSZ,"1000 mcx, Timekeeper, I know you can",,Y567719,,Puzzles,,,,4001689299750,hidden,,,,,,28.99,,N,,,N,,,14.25,Autruche,,0,,,,Y
4TVLIYS5QWMUR2QZKT7BWXX5,"1000 mcx,W.Ori.#34, A piece of Pride",,552202L,,Puzzles,,,,8710126191811,hidden,,,,,,29.99,,N,,,N,,,15.00,Autruche,,0,,,,Y
37FRYQTGF6XJSZVQ7E4E3FMG,"1000 pc, Christmas Birds",,144275Z,,Puzzles,,,,9001890551444,hidden,,,,,,25.99,,N,,,N,,,13.00,Autruche,,0,,,,Y
4VZFOXJQOGTFGDJID5JJKLZX,"1000 pc, Christmas Surprise",,R576722,,Puzzles,,,,9001890554742,hidden,,,,,,25.99,,N,,,N,,,13.00,Autruche,,0,,,,Y
J4NJ2IY7BTQSX5TXHG3YLXHB,"1000 pc, Classic Italians",,B633674,,Puzzles,,,,9001890550843,hidden,,,,,,25.99,,N,,,N,,,13.00,Autruche,,1,,,,Y
F6K6O3FZCFJ2BVNRDRG6ZN3J,"1000 pc, F.Kahlo Self portrait w Monkeys",,N905961,,Puzzles,,,,9001890550942,hidden,,,,,,27.99,,N,,,N,,,14.00,Autruche,,0,,,,Y
GACH2NM633FWW23S5ARKLW76,"1000 pc, Great green macaw",,298513D,,Puzzles,,,,9001890549847,hidden,,,,,,25.99,,N,,,N,,,13.00,Autruche,,0,,,,Y
WO4KHN745O4OQ6CE2XWETOCM,"1000 pc, Karlskirche Vienna",,F244160,,Puzzles,,,,9001890553448,hidden,,,,,,25.99,,N,,,N,,,13.00,Autruche,,0,,,,Y
QX5TLQPN6L6FXMJ7NXO6VCAI,"1000 pc, Klimt the Kiss, metallic",,2031205,,Puzzles,,,,9001890557545,hidden,,,,,,74.99,,N,,,N,,,38.00,Autruche,,0,,,,Y
OGF2D3OX4ILGOABKKLLJVZNX,"1000 pc, Mucha, Four Seasons, metallic",,S126997,,Puzzles,,,,9001890557644,hidden,,,,,,74.99,,N,,,N,,,38.00,Autruche,,0,,,,Y
OZG2VU4MXFX2N53D6DX7LD67,"1000 pc, Pasta",,M537903,,Puzzles,,,,9001890551147,hidden,,,,,,23.99,,N,,,N,,,12.00,Autruche,,1,,,,Y
M2TBYUOYNG52LUYC2UTFNHVB,"1000 pc, Supervised feast",,848923T,,Puzzles,,,,9001890549946,hidden,,,,,,25.99,,N,,,N,,,13.00,Autruche,,1,,,,Y
X5GXYBADAQE4VDTQI7PYI2ZS,"1000 pc,Chagall SelfPortrait w.7 Fingers",,4328627,,Puzzles,,,,9001890549649,hidden,,,,,,27.99,,N,,,N,,,14.00,Autruche,,0,,,,Y
DNH76SFFBDDYPTG35HK5Y42B,"1000 pcs By Night, Romantic Town",,238238J,,Puzzles,,,,4001689298753,hidden,,,,,,28.99,,N,,,N,,,14.25,Autruche,,0,,,,Y
TP6W2YBBQ2ZNUCYBBLCDTPEW,"1000 pcs, A Day on the River",Regular,T316786,,Puzzles,,,,,unavailable,,Y,N,N,Y,21.50,,N,,,N,,,10.75,Autruche,,1,,,,Y
GMP2INSVD6YCBR7ONYFXG45C,"1000 pcs, Aligned Destiny",,F927514,,Puzzles,,,,4001689299590,hidden,,,,,,28.99,,N,,,N,,,14.25,Autruche,,0,,,,Y
T73LGZUZXYPBJIKAJEN7P3AB,"1000 pcs, Arrow Dynamic, AVH",Regular,769815S,,Puzzles,,,,,unavailable,,Y,N,N,Y,28.50,,N,,,N,,,14.25,Autruche,,0,,,,Y
754VIPDJ5ZERF6AR32TYIIU2,"1000 pcs, Artitst's Mind",,R963889,,Puzzles,,,,4001689299323,hidden,,,,,,33.99,,N,,,N,,,16.75,Autruche,,0,,,,Y
ID2WQCZJ22ZK4LIKBBHLU4EZ,"1000 pcs, At the Hairdressers, JVH",,363910P,,Puzzles,,,,8710126200704,hidden,,,,,,29.99,,N,,,N,,,15.00,Autruche,,0,,,,Y
572F35WZKE6N2MAH2VERF2QM,"1000 pcs, Australian Habitat",,365189L,,Puzzles,,,,4001689298708,hidden,,,,,,28.99,,N,,,N,,,14.25,Autruche,,0,,,,Y
V6NHC6AHVHC47X2MMZFCAAH6,"1000 pcs, Autumn on the Farm",,580549G,,Puzzles,,,,8710126112748,hidden,,,,,,21.99,,N,,,N,,,10.75,Autruche,,0,,,,Y
JC7U2LZXTSZ34DOM6UNO5ZEC,"1000 pcs, Banjo",,C029010,,Puzzles,,,,4001689298968,hidden,,,,,,28.99,,N,,,N,,,14.25,Autruche,,0,,,,Y
H33CC5LLQIYINXSVWTI6W3ZD,"1000 pcs, Berlin Quest",,3554050,,Puzzles,,,,4001689299156,hidden,,,,,,28.99,,N,,,N,,,14.25,Autruche,,0,,,,Y
PFCPK72QIS5GCA5VDPDPPR3S,"1000 pcs, Bird Paradise",,R869714,,Puzzles,,,,4001689299576,hidden,,,,,,28.99,,N,,,N,,,14.25,Autruche,,1,,,,Y
D2GELNHFUD4Z2GT4NJTZKQ2V,"1000 pcs, Building Noah's Arc",,Y449835,,Puzzles,,,,8710126188545,hidden,,,,,,25.99,,N,,,N,,,13.00,Autruche,,0,,,,Y
WTQCIROLJRX2Y4VALHPWUVBJ,"1000 pcs, By Day, Romantic Town",,4513055,,Puzzles,,,,4001689298746,hidden,,,,,,28.99,,N,,,N,,,14.25,Autruche,,0,,,,Y
W5ECNTZX57HTFOORDZDPREQ5,"1000 pcs, Calla Clearing",,3471820,,Puzzles,,,,4001689299064,hidden,,,,,,28.99,,N,,,N,,,14.25,Autruche,,0,,,,Y
IU2IKIZIASOYGPXBBYBTVQ4R,"1000 pcs, Canal Boats",,7732337,,Puzzles,,,,8710126188552,hidden,,,,,,25.95,,N,,,N,,,13.00,Autruche,,0,,,,Y
Y6QJAJJKEIJBLEUB64VIB7IM,"1000 pcs, Cat Horoscope",,7809094,,Puzzles,,,,8710126188538,hidden,,,,,,25.95,,N,,,N,,,13.00,Autruche,,0,,,,Y
PJ7PUSXN5LWRWZG4MRRJWAZE,"1000 pcs, Christmas Conservatory",,K944200,,Puzzles,,,,8710126112755,hidden,,,,,,21.95,,N,,,N,,,10.75,Autruche,,0,,,,Y
IAA6FRLJLOBNF3T3YETRGIIR,"1000 pcs, Christmas in York",,3604443,,Puzzles,,,,8710126112779,hidden,,,,,,21.95,,N,,,N,,,10.75,Autruche,,0,,,,Y
